Page,出願記事,登録記事,権利者記事,発明等の名称(漢字)記事,請求項の数記事,登録細項目記事,最終納付年分記事,更新日付
page-6638973,特許2016-076594(2016/04/06),6638973,スイス(505236469)キャタピラー　エス　エー　アール　エル,作業機械のタンク構造,5,本権利は抹消されていない存続期間満了日(2036/04/06),4年,(2022/12/28)
page-6639052,特許2017-519602(2015/10/13),6639052,アメリカ合衆国(513161449)イーエルシー　マネージメント　エルエルシー,油を調節する化粧用粉末,10,本権利は抹消されていない存続期間満了日(2035/10/13),4年,(2022/12/28)
page-6639086,特許2014-523146(2012/08/02),6639086,アメリカ合衆国(509116613)レスメド・モーター・テクノロジーズ・インコーポレーテッド,ブロワ,40,本権利は抹消されていない存続期間満了日(2032/08/02),4年,(2022/12/28)
page-6639230,特許2015-515543(2013/06/07),6639230,イタリア国ヌオーヴォ　ピニォーネ　テクノロジー　―　エス．アール．エル．,ヘビーデューティガスタービンを備えたモジュール式ガスタービンプラント,25,本権利は抹消されていない存続期間満了日(2033/06/07),4年,(2022/12/28)
page-6639304,特許2016-065589(2016/03/29),6639304,アメリカ合衆国(596170170)ゼロックス　コーポレイション,固体インクマスク除去プロセス,16,本権利は抹消されていない存続期間満了日(2036/03/29),4年,(2022/12/28)
page-6639348,特許2016-142366(2016/07/20),6639348,東京都中野区(308017571)シナプティクス・ジャパン合同会社,表示制御デバイス及び表示パネルモジュール,14,本権利は抹消されていない存続期間満了日(2036/07/20),4年,(2022/12/28)
page-6639386,特許2016-526228(2014/10/22),6639386,フランス国(503331735)ルイ　ヴィトン　マルティエ,引込式ロッドを備える車輪付スーツケース,12,本権利は抹消されていない存続期間満了日(2034/10/22),4年,(2022/12/28)
page-6639394,特許2016-537908(2014/08/29),6639394,アメリカ合衆国(598085065)アルファ・アセンブリー・ソリューションズ・インコーポレイテッド,電気部品および機械部品を接合するための複合物および複層銀膜,8,本権利は抹消されていない存続期間満了日(2034/08/29),4年,(2022/12/28)
page-6639463,特許2017-244758(2013/06/28),6639463,アメリカ合衆国(500049716)アムジエン・インコーポレーテツド,ホモ接合性家族性高コレステロール血症の治療方法,11,本権利は抹消されていない存続期間満了日(2033/06/28),4年,(2022/12/28)
page-6639466,特許2017-501284(2015/07/10),6639466,アメリカ合衆国(507107291)テキサス　インスツルメンツ　インコーポレイテッド,動的ＶＩＯシフト保護を備えたデュアルコンパレータ回路,19,本権利は抹消されていない存続期間満了日(2035/07/10),4年,(2022/12/28)
page-6639507,特許2017-536777(2016/01/20),6639507,アメリカ合衆国(394020941)ザ　トロ　カンパニー,左手または右手で駆動することが可能な双方向ターフグルーマを有するリール芝刈り機,12,本権利は抹消されていない存続期間満了日(2036/01/20),4年,(2022/12/28)
page-6639510,特許2017-538463(2015/10/06),6639510,フランス国(516235451)サフラン・ヘリコプター・エンジンズ フランス国(517123379)サフラン・エレクトリカル・アンド・パワー,ハイブリッドターボシャフトエンジンおよび該ハイブリッドターボシャフトエンジンを再始動させるシステムを含むヘリコプタの推進システムの構造,9,本権利は抹消されていない存続期間満了日(2035/10/06),4年,(2022/12/28)
page-6639554,特許2018-084742(2012/06/21),6639554,アメリカ合衆国(508004502)ピーセミ　コーポレーション,選択基板の両面に部品を有する集積回路、及びその製造方法,21,本権利は抹消されていない存続期間満了日(2032/06/21),4年,(2022/12/28)
page-6639580,特許2018-136711(2013/12/20),6639580,アメリカ合衆国(390040660)アプライド　マテリアルズ　インコーポレイテッド,蒸発器、堆積アレンジメント、堆積装置及びこれらを操作する方法,15,本権利は抹消されていない存続期間満了日(2033/12/20),4年,(2022/12/28)
page-6639635,特許2018-501888(2017/03/03),6639635,アメリカ合衆国(506110243)ノベリス・インコーポレイテッド,フィンストックとして使用するための高強度な耐食アルミニウム合金及びそれを作製する方法,17,本権利は抹消されていない存続期間満了日(2037/03/03),4年,(2022/12/28)
page-6639657,特許2018-517340(2016/09/12),6639657,アメリカ合衆国(390040660)アプライド　マテリアルズ　インコーポレイテッド,熱質量が小さい加圧チャンバ,10,本権利は抹消されていない存続期間満了日(2036/09/12),4年,(2022/12/28)
page-6639820,特許2015-140417(2015/07/14),6639820,イタリア国(505279927)マグネティ　マレッリ　ソチエタ　ペル　アツィオニ,油圧式制動装置を伴う電磁燃料噴射器,14,本権利は抹消されていない存続期間満了日(2035/07/14),4年,(2022/12/28)
page-6639911,特許2015-549523(2013/12/16),6639911,アメリカ合衆国(391028362)ダブリュ．エル．ゴア　アンド　アソシエイツ，インコーポレイティド,人工心臓弁用の切頂型リーフレット,15,本権利は抹消されていない存続期間満了日(2033/12/16),4年,(2022/12/28)
page-6640014,特許2016-093434(2007/03/28),6640014,アメリカ合衆国(505005049)スリーエム　イノベイティブ　プロパティズ　カンパニー,広角ミラーシステム,1,本権利は抹消されていない存続期間満了日(2027/03/28),4年,(2022/12/28)
page-6640044,特許2016-132556(2009/02/26),6640044,アメリカ合衆国(505005049)スリーエム　イノベイティブ　プロパティズ　カンパニー,タッチスクリーンセンサ,1,本権利は抹消されていない存続期間満了日(2029/02/26),4年,(2022/12/28)
page-6640061,特許2016-192628(2011/07/26),6640061,アメリカ合衆国(505243216)メソ　スケール　テクノロジーズ　エルエルシー,消耗品データ管理,19,本権利は抹消されていない存続期間満了日(2031/07/26),4年,(2022/12/28)
page-6640081,特許2016-530272(2014/07/29),6640081,オーストラリア(500046450)レスメド・プロプライエタリー・リミテッド,患者インタフェースのための熱水分交換器,13,本権利は抹消されていない存続期間満了日(2034/07/29),4年,(2022/12/28)
page-6640087,特許2016-535681(2014/12/01),6640087,アメリカ合衆国(505005049)スリーエム　イノベイティブ　プロパティズ　カンパニー,保護要素を備えた半液浸系顕微鏡対物レンズ及び多光子結像方法におけるその使用,4,本権利は抹消されていない存続期間満了日(2034/12/01),4年,(2022/12/28)
page-6640106,特許2016-560383(2015/03/31),6640106,アメリカ合衆国(505005049)スリーエム　イノベイティブ　プロパティズ　カンパニー,研磨パッド及びシステム、並びにその作製方法及び使用方法,20,本権利は抹消されていない存続期間満了日(2035/03/31),4年,(2022/12/28)
page-6640113,特許2016-566215(2015/05/06),6640113,アメリカ合衆国(500049716)アムジエン・インコーポレーテツド,衝撃低減要素を有する自動注入器,23,本権利は抹消されていない存続期間満了日(2035/05/06),4年,(2022/12/28)
page-6640114,特許2016-566785(2015/05/08),6640114,アメリカ合衆国スリーエム　イノベイティブ　プロパティズ　カンパニー,陰圧および流体点滴注入と共に使用するための破壊的ドレッシング,32,本権利は抹消されていない存続期間満了日(2035/05/08),4年,(2022/12/28)
page-6640176,特許2017-241579(2017/12/18),6640176,アメリカ合衆国(503062253)アナログ　ディヴァイスィズ　インク,同期化マスジャイロスコープ,15,本権利は抹消されていない存続期間満了日(2037/12/18),4年,(2022/12/28)
page-6640177,特許2017-241580(2017/12/18),6640177,イギリス領バミューダ(517338467)アナログ・ディヴァイシス・グローバル・アンリミテッド・カンパニー,絶縁型ＤＣ／ＤＣコンバータ,18,本権利は抹消されていない存続期間満了日(2037/12/18),4年,(2022/12/28)
page-6640196,特許2017-512674(2015/09/04),6640196,アメリカ合衆国(505005049)スリーエム　イノベイティブ　プロパティズ　カンパニー,接着剤付き物品を移送する方法及びそれを行う装置,4,本権利は抹消されていない存続期間満了日(2035/09/04),4年,(2022/12/28)
page-6640200,特許2017-516034(2015/06/01),6640200,ドイツ連邦共和国(597075904)フレゼニウス　メディカル　ケア　ドイッチェランド　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,非侵襲性血流測定装置,15,本権利は抹消されていない存続期間満了日(2035/06/01),4年,(2022/12/28)
page-6640201,特許2017-516632(2015/06/04),6640201,スウェーデン国モンミク、エンジンズ、アクチボラグ,回転モータ,14,本権利は抹消されていない存続期間満了日(2035/06/04),4年,(2022/12/28)
page-6640207,特許2017-518839(2015/09/24),6640207,アメリカ合衆国(513161449)イーエルシー　マネージメント　エルエルシー,ファンデーションメークアップ及びコンシーラー組成物,7,本権利は抹消されていない存続期間満了日(2035/09/24),4年,(2022/12/28)
page-6640216,特許2017-523490(2015/10/30),6640216,アメリカ合衆国(518372567)テネコ・インコーポレイテッド,ピストン,20,本権利は抹消されていない存続期間満了日(2035/10/30),4年,(2022/12/28)
page-6640219,特許2017-526879(2015/11/23),6640219,フランス国(591100596)アンスティチュ　ナショナル　ドゥ　ラ　サンテ　エ　ドゥ　ラ　ルシェルシュ　メディカル フランス国(595070257)アンスティトゥー　パストゥール　ド　リール フランス国(512158295)ユニヴェルシテ・リール・１・シアンス・エ・テクノロジー フランス国(595040744)サントル・ナショナル・ドゥ・ラ・ルシェルシュ・シャンティフィク フランス国(512158284)ユニヴェルシテ・リール・２・ドロワ・エ・サンテ,ＩＬ－２０Ｒの拮抗による慢性閉塞性肺疾患の急性増悪の処置,8,本権利は抹消されていない存続期間満了日(2035/11/23),4年,(2022/12/28)
page-6640235,特許2017-543779(2016/02/25),6640235,アメリカ合衆国(512269650)コヴィディエン　リミテッド　パートナーシップ,導体ストレインリリーフ付き外科用装置,16,本権利は抹消されていない存続期間満了日(2036/02/25),4年,(2022/12/28)
page-6640245,特許2017-555635(2016/04/25),6640245,アメリカ合衆国(505005049)スリーエム　イノベイティブ　プロパティズ　カンパニー,膨潤性フィルム形成組成物及びそれを用いたナノインプリントリソグラフィの方法,5,本権利は抹消されていない存続期間満了日(2036/04/25),4年,(2022/12/28)
page-6640250,特許2018-001685(2013/07/26),6640250,アメリカ合衆国(390040660)アプライド　マテリアルズ　インコーポレイテッド,高度なデバイスのウェハ上の粒子性能に対して化学的適合性のあるコーティング材料,7,本権利は抹消されていない存続期間満了日(2033/07/26),4年,(2022/12/28)
page-6640256,特許2018-029650(2014/09/22),6640256,アメリカ合衆国(505003528)カーディアック　ペースメイカーズ，　インコーポレイテッド,植込型医療装置,9,本権利は抹消されていない存続期間満了日(2034/09/22),4年,(2022/12/28)
page-6640271,特許2018-090722(2013/08/22),6640271,アメリカ合衆国(390040660)アプライド　マテリアルズ　インコーポレイテッド,基板を結合する方法,18,本権利は抹消されていない存続期間満了日(2033/08/22),4年,(2022/12/28)
page-6640330,特許2018-508692(2016/08/09),6640330,アメリカ合衆国(503455363)レイセオン　カンパニー,ループ状に配列された電界効果トランジスタセルを有する電界効果トランジスタ,12,本権利は抹消されていない存続期間満了日(2036/08/09),4年,(2022/12/28)
page-6640352,特許2018-524326(2016/11/08),6640352,イギリス国(390038014)ビ－エイイ－　システムズ　パブリック　リミテッド　カンパニ－,飛体のための機体,15,本権利は抹消されていない存続期間満了日(2036/11/08),4年,(2022/12/28)
page-6640359,特許2018-531306(2016/09/06),6640359,アメリカ合衆国(591009509)ボーズ・コーポレーション,ワイヤレスオーディオ同期,18,本権利は抹消されていない存続期間満了日(2036/09/06),4年,(2022/12/28)
page-6640366,特許2018-543014(2016/11/02),6640366,アメリカ合衆国(597115727)ローズマウント　インコーポレイテッド,二次シールを備えるプロセス変数測定システム,14,本権利は抹消されていない存続期間満了日(2036/11/02),4年,(2022/12/28)
page-6640369,特許2018-545622(2017/03/02),6640369,アメリカ合衆国(505005049)スリーエム　イノベイティブ　プロパティズ　カンパニー,全フッ素化アルカン酸の除去方法,7,本権利は抹消されていない存続期間満了日(2037/03/02),4年,(2022/12/28)
page-6640427,特許2019-515276(2017/06/26),6640427,アメリカ合衆国(515231553)ローズマウント　インコーポレイテッド,プロセストランスミッタ隔離ユニット補償,20,本権利は抹消されていない存続期間満了日(2037/06/26),4年,(2022/12/28)
page-6640484,特許2015-155803(2015/08/06),6640484,ベルギー国(515216000)サフラン　エアロ　ブースターズ　ソシエテ　アノニム,軸流ターボ機械コンプレッサケーシングのアブレイダブル組成物及びシール,15,本権利は抹消されていない存続期間満了日(2035/08/06),4年,(2022/12/28)
page-6640517,特許2015-195906(2015/10/01),6640517,スイス国(515322297)ゼネラル　エレクトリック　テクノロジー　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,シーリングセグメント,8,本権利は抹消されていない存続期間満了日(2035/10/01),4年,(2022/12/28)
page-6640534,特許2015-220833(2015/11/11),6640534,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,部分負荷下でのガスタービンのチューニングにおける燃料流量ベースの確率的制御の適用に関連する制御システム、コンピュータプログラム製品、及びその方法,20,本権利は抹消されていない存続期間満了日(2035/11/11),4年,(2022/12/28)
page-6640716,特許2016-517061(2014/05/30),6640716,アメリカ合衆国(597025806)ワシントン・ユニバーシティ,細菌感染症を治療するための化合物及び方法,17,本権利は抹消されていない存続期間満了日(2034/05/30),4年,(2022/12/28)
page-6640732,特許2016-559963(2015/05/26),6640732,アメリカ合衆国(505379467)サンパワー　コーポレイション,光起電力システムの保護,10,本権利は抹消されていない存続期間満了日(2035/05/26),4年,(2022/12/28)
page-6640740,特許2016-566656(2015/05/07),6640740,アメリカ合衆国(597160510)リジェネロン・ファーマシューティカルズ・インコーポレイテッド,ヒト化ＩＬ－４およびＩＬ－４Ｒα動物,24,本権利は抹消されていない存続期間満了日(2035/05/07),4年,(2022/12/28)
page-6640748,特許2016-570333(2015/06/04),6640748,アメリカ合衆国スリーエム　イノベイティブ　プロパティズ　カンパニー,流体獲得および分配特徴を備えるドレッシング,35,本権利は抹消されていない存続期間満了日(2035/06/04),4年,(2022/12/28)
page-6640753,特許2016-574272(2015/06/24),6640753,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,蛍光体組成物及びそれからなる照明器具,23,本権利は抹消されていない存続期間満了日(2035/06/24),4年,(2022/12/28)
page-6640754,特許2016-574899(2015/06/18),6640754,アメリカ合衆国(390040660)アプライド　マテリアルズ　インコーポレイテッド,導電性トレンチの深さの誘導性モニタリング,15,本権利は抹消されていない存続期間満了日(2035/06/18),4年,(2022/12/28)
page-6640817,特許2017-212994(2013/03/14),6640817,アメリカ合衆国(595117091)ベクトン・ディキンソン・アンド・カンパニー,安全針用の斜めの引っ込み式シース,14,本権利は抹消されていない存続期間満了日(2033/03/14),4年,(2022/12/28)
page-6640824,特許2017-241581(2017/12/18),6640824,アメリカ合衆国(503062253)アナログ　ディヴァイスィズ　インク,微小電気機械システム（ＭＥＭＳ）デバイス用の屈曲性結合器,20,本権利は抹消されていない存続期間満了日(2037/12/18),4年,(2022/12/28)
page-6640830,特許2017-503016(2015/07/09),6640830,アメリカ合衆国(595117091)ベクトン・ディキンソン・アンド・カンパニー,第１液滴を除去するランセット装置,1,本権利は抹消されていない存続期間満了日(2035/07/09),4年,(2022/12/28)
page-6640840,特許2017-515054(2015/09/21),6640840,フランス国(591100596)アンスティチュ　ナショナル　ドゥ　ラ　サンテ　エ　ドゥ　ラ　ルシェルシュ　メディカル フランス国(595040744)サントル・ナショナル・ドゥ・ラ・ルシェルシュ・シャンティフィク フランス共和国ユニヴェルシテ・パリ・シテ,線維症を処置するための方法及び医薬組成物,2,本権利は抹消されていない存続期間満了日(2035/09/21),4年,(2022/12/28)
page-6640848,特許2017-522156(2015/08/13),6640848,アメリカ合衆国(390040660)アプライド　マテリアルズ　インコーポレイテッド,流体をスプレー本体の下方へ且つ入口ポートへ向けて誘導するように方向付けられた流体出口を採用する研磨パッド洗浄システム、及びそれに関連する方法,11,本権利は抹消されていない存続期間満了日(2035/08/13),4年,(2022/12/28)
page-6640849,特許2017-522811(2015/10/29),6640849,オランダ王国(510185767)ドルビー・インターナショナル・アーベー,マルチチャネル・オーディオ信号のパラメトリック・エンコードおよびデコード,16,本権利は抹消されていない存続期間満了日(2035/10/29),4年,(2022/12/28)
page-6640885,特許2017-565956(2016/06/10),6640885,ルクセンブルク国(515214729)アルセロールミタル,プレス焼入れ用の鋼およびそのような鋼材から製造されたプレス焼入れ部品,34,本権利は抹消されていない存続期間満了日(2036/06/10),4年,(2022/12/28)
page-6640890,特許2018-016193(2013/12/04),6640890,オランダ王国(510185767)ドルビー・インターナショナル・アーベー,音場のための高次アンビソニックス表現を圧縮および圧縮解除する方法および装置,6,本権利は抹消されていない存続期間満了日(2033/12/04),4年,(2022/12/28)
page-6640924,特許2018-120346(2018/06/26),6640924,スイス国(515322297)ゼネラル　エレクトリック　テクノロジー　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,機械部品,15,本権利は抹消されていない存続期間満了日(2038/06/26),4年,(2022/12/28)
page-6640929,特許2018-126576(2012/12/06),6640929,アメリカ合衆国(507236292)ドルビー　ラボラトリーズ　ライセンシング　コーポレイション,異なる表示機能の間で知覚ルミナンス非線形性ベースの画像データ交換を改善する装置および方法,9,本権利は抹消されていない存続期間満了日(2032/12/06),4年,(2022/12/28)
page-6640978,特許2018-245492(2014/03/26),6640978,大阪府大阪市(000002934)武田薬品工業株式会社,６－（５－ヒドロキシ－１Ｈ－ピラゾール－１－イル）ニコチンアミド誘導体およびＰＨＤ阻害剤としてのそれらの使用,8,本権利は抹消されていない存続期間満了日(2034/03/26),4年,(2022/12/28)
page-6641058,特許2019-134480(2014/01/15),6641058,アメリカ合衆国(507236292)ドルビー　ラボラトリーズ　ライセンシング　コーポレイション,プログラム・ラウドネスおよび境界メタデータをもつオーディオ・エンコーダおよびデコーダ,10,本権利は抹消されていない存続期間満了日(2034/01/15),4年,(2022/12/28)
page-6641090,特許2015-037510(2015/02/27),6641090,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,翼形部品を製造するためのシステム,11,本権利は抹消されていない存続期間満了日(2035/02/27),4年,(2022/12/28)
page-6641103,特許2015-101588(2015/05/19),6641103,アメリカ合衆国(504407000)パロ　アルト　リサーチ　センター　インコーポレイテッド,エローゾルを生成する方法およびシステム,19,本権利は抹消されていない存続期間満了日(2035/05/19),4年,(2022/12/28)
page-6641104,特許2015-114582(2011/10/03),6641104,アメリカ合衆国(512269650)コヴィディエン　リミテッド　パートナーシップ,遠位アクセス吸引ガイドカテーテル,21,本権利は抹消されていない存続期間満了日(2031/10/03),4年,(2022/12/28)
page-6641108,特許2015-137378(2015/07/09),6641108,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,冷却流のためのタービンバケットプレナム,18,本権利は抹消されていない存続期間満了日(2035/07/09),4年,(2022/12/28)
page-6641244,特許2016-136728(2016/07/11),6641244,アメリカ合衆国(596170170)ゼロックス　コーポレイション,噴射積層体,9,本権利は抹消されていない存続期間満了日(2036/07/11),4年,(2022/12/28)
page-6641293,特許2016-565427(2015/05/01),6641293,アメリカ合衆国(503170721)フェデラル－モーグル・パワートレイン・リミテッド・ライアビリティ・カンパニー,微細孔の反射性繊維スリーブおよびその製造方法,26,本権利は抹消されていない存続期間満了日(2035/05/01),4年,(2022/12/28)
page-6641294,特許2016-567566(2015/05/13),6641294,アメリカ合衆国(510121444)アビオメド　インコーポレイテッド,カニューレアセンブリ,30,本権利は抹消されていない存続期間満了日(2035/05/13),4年,(2022/12/28)
page-6641295,特許2016-567822(2015/06/03),6641295,スイス(504274505)シーカ・テクノロジー・アーゲー,シラン末端ポリマーをベースとするスズおよびフタレートを含まないシーラント,8,本権利は抹消されていない存続期間満了日(2035/06/03),4年,(2022/12/28)
page-6641301,特許2016-574267(2015/06/16),6641301,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,自動式の燃焼システムの特徴付け,10,本権利は抹消されていない存続期間満了日(2035/06/16),4年,(2022/12/28)
page-6641302,特許2016-574394(2015/06/25),6641302,フランス(591034154)オランジュ,低遅延符号化／復号のための補間による音声信号のリサンプリング,12,本権利は抹消されていない存続期間満了日(2035/06/25),4年,(2022/12/28)
page-6641303,特許2016-575018(2015/06/22),6641303,オランダ王国(510185767)ドルビー・インターナショナル・アーベー,非差分的な利得値を表現するのに必要とされる最低整数ビット数をＨＯＡデータ・フレーム表現の圧縮のために決定する装置,12,本権利は抹消されていない存続期間満了日(2035/06/22),4年,(2022/12/28)
page-6641304,特許2016-575019(2015/06/22),6641304,オランダ王国(510185767)ドルビー・インターナショナル・アーベー,非差分的な利得値を表現するのに必要とされる最低整数ビット数をＨＯＡデータ・フレーム表現の圧縮のために決定する装置,12,本権利は抹消されていない存続期間満了日(2035/06/22),4年,(2022/12/28)
page-6641345,特許2017-238263(2013/02/01),6641345,アメリカ合衆国(595117091)ベクトン・ディキンソン・アンド・カンパニー,分子診断試験の分布及び試験間のコンパチビリティ判断のための外部ファイル,26,本権利は抹消されていない存続期間満了日(2033/02/01),4年,(2022/12/28)
page-6641359,特許2017-515674(2015/05/04),6641359,アメリカ合衆国(390040660)アプライド　マテリアルズ　インコーポレイテッド,導管内でガスを処置するための装置,15,本権利は抹消されていない存続期間満了日(2035/05/04),4年,(2022/12/28)
page-6641364,特許2017-523840(2015/10/09),6641364,アメリカ合衆国(515269383)ザ　ケマーズ　カンパニー　エフシー　リミテッド　ライアビリティ　カンパニー,動力サイクルにおける（２Ｅ）－１，１，１，４，５，５，５－ヘプタフルオロ－４－（トリフルオロメチル）ペンタ－２－エンの使用,15,本権利は抹消されていない存続期間満了日(2035/10/09),4年,(2022/12/28)
page-6641388,特許2017-559300(2015/05/14),6641388,アメリカ合衆国(507107291)テキサス　インスツルメンツ　インコーポレイテッド,ＵＳＢコントローラＥＳＤ保護装置及び方法,20,本権利は抹消されていない存続期間満了日(2035/05/14),4年,(2022/12/28)
page-6641421,特許2018-113402(2012/03/20),6641421,アメリカ合衆国(507107291)テキサス　インスツルメンツ　インコーポレイテッド,調整可能なコーナー周波数を有するＰＷＭデューティサイクルシンセサイザ及び方法,14,本権利は抹消されていない存続期間満了日(2032/03/20),4年,(2022/12/28)
page-6641511,特許2019-027911(2014/05/13),6641511,イギリス国(516026170)バリディウム　アイピー　リミテッド,アクセス制御される環境へのアクセスを認可するためのシステム及び方法,20,本権利は抹消されていない存続期間満了日(2034/05/13),4年,(2022/12/28)
page-6641579,特許2016-575063(2015/07/09),6641579,スイス国(311007051)シクパ　ホルディング　ソシエテ　アノニム,凹状磁力線を発生させる磁場発生デバイスによって生成された光学効果層を、磁場中硬化するための方法,10,本権利は抹消されていない存続期間満了日(2035/07/09),4年,(2022/12/28)
page-6642744,特許2019-003593(2019/01/11),6642744,愛知県豊田市(000003207)トヨタ自動車株式会社,複数のコネクティッド車両による観測値を関連付ける方法,13,本権利は抹消されていない存続期間満了日(2039/01/11),4年,(2022/02/25)
page-6642745,特許2019-003614(2019/01/11),6642745,愛知県豊田市(000003207)トヨタ自動車株式会社,複数のコネクティッド車両による観測値を関連付けるための学習方法,14,本権利は抹消されていない存続期間満了日(2039/01/11),4年,(2022/02/25)
page-6642841,特許2018-236749(2015/05/26),6642841,シンガポールマキシオン　ソーラー　プライベート　リミテッド,こけら葺き状太陽電池モジュール,25,本権利は抹消されていない存続期間満了日(2035/05/26),4年,(2022/12/28)
page-6642919,特許2018-074009(2014/02/24),6642919,アメリカ合衆国(505403186)ケアフュージョン　３０３、インコーポレイテッド,流体経路及び通気経路を提供する無針コネクタ及び無針コネクタ・セット,11,本権利は抹消されていない存続期間満了日(2034/02/24),4年,(2022/12/28)
page-6642931,特許2013-214306(2013/10/15),6642931,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,炭化ケイ素装置におけるオーミック接触のためのシステム及び方法,14,本権利は抹消されていない存続期間満了日(2033/10/15),4年,(2022/12/28)
page-6642936,特許2014-516081(2012/06/18),6642936,アメリカ合衆国(390040660)アプライド　マテリアルズ　インコーポレイテッド,ＯＬＥＤ封止用のマスク管理システム及び方法,15,本権利は抹消されていない存続期間満了日(2032/06/18),4年,(2022/12/28)
page-6642937,特許2017-092862(2011/06/20),6642937,アメリカ合衆国(390040660)アプライド　マテリアルズ　インコーポレイテッド,フェムト秒レーザ及びプラズマエッチングを用いたウェハダイシング,10,本権利は抹消されていない存続期間満了日(2031/06/20),4年,(2022/12/28)
page-6642941,特許2016-520208(2014/06/20),6642941,カナダ国(513138072)ハイドロ－ケベック,高エネルギー電池用アノード,45,本権利は抹消されていない存続期間満了日(2034/06/20),4年,(2022/12/28)
page-6642944,特許2016-564191(2015/05/18),6642944,アメリカ合衆国(397050741)マイクロチップ　テクノロジー　インコーポレイテッド,内蔵コントローラの使用によるクラスデバイスインターフェースと単一ホストインターフェースの統合,13,本権利は抹消されていない存続期間満了日(2035/05/18),4年,(2022/12/28)
page-6642947,特許2017-510876(2015/07/28),6642947,アメリカ合衆国(512269650)コヴィディエン　リミテッド　パートナーシップ,デジタルコントローラを使用してマイクロ波発生器の１つ以上の動作を調節するためのシステムおよび方法,18,本権利は抹消されていない存続期間満了日(2035/07/28),4年,(2022/12/28)
page-6642955,特許2018-534822(2016/01/11),6642955,アメリカ合衆国(512269650)コヴィディエン　リミテッド　パートナーシップ,内視鏡用の部分使い捨て外科用クリップアプライア,14,本権利は抹消されていない存続期間満了日(2036/01/11),4年,(2022/12/28)
page-6643128,特許2016-023790(2016/02/10),6643128,アメリカ合衆国(512132022)フィッシャー－ローズマウント　システムズ，インコーポレイテッド,仮想マシンイントロスペクションを通じたセキュリティ事象検出方法、装置、及び有形コンピュータ可読記憶媒体,18,本権利は抹消されていない存続期間満了日(2036/02/10),4年,(2022/12/28)
page-6643183,特許2016-101631(2016/05/20),6643183,愛知県長久手市株式会社豊田中央研究所,再充電可能な電池のための有機活物質,8,本権利は抹消されていない存続期間満了日(2036/05/20),4年,(2022/12/28)
page-6643225,特許2016-519542(2014/06/04),6643225,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,クリアランス制御リング組立体,10,本権利は抹消されていない存続期間満了日(2034/06/04),4年,(2022/12/28)
page-6643226,特許2016-519768(2014/09/24),6643226,アメリカ合衆国(505005049)スリーエム　イノベイティブ　プロパティズ　カンパニー,第１の微細構造層及びコーティングを含む微細構造化拡散体、光学積層体、並びに方法,10,本権利は抹消されていない存続期間満了日(2034/09/24),4年,(2022/12/28)
page-6643234,特許2016-536951(2014/12/02),6643234,アメリカ合衆国(505005049)スリーエム　イノベイティブ　プロパティズ　カンパニー,歯科矯正補助装置及び舌側器具システムと共に使用するための唇側取付けデバイス,2,本権利は抹消されていない存続期間満了日(2034/12/02),4年,(2022/12/28)
page-6643235,特許2016-539506(2014/09/02),6643235,イタリア国ヌオーヴォ　ピニォーネ　テクノロジー　―　エス．アール．エル．,多段遠心圧縮機,11,本権利は抹消されていない存続期間満了日(2034/09/02),4年,(2022/12/28)
page-6643238,特許2016-542313(2014/09/11),6643238,イタリア国ヌオーヴォ　ピニォーネ　テクノロジー　―　エス．アール．エル．,遠心圧縮機用の液体耐性インペラ,11,本権利は抹消されていない存続期間満了日(2034/09/11),4年,(2022/12/28)
page-6643262,特許2016-574369(2015/06/24),6643262,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,入口案内羽根システム,8,本権利は抹消されていない存続期間満了日(2035/06/24),4年,(2022/12/28)
page-6643267,特許2017-041476(2012/04/03),6643267,アメリカ合衆国(512132022)フィッシャー－ローズマウント　システムズ，インコーポレイテッド,プロセス制御リソースを管理するための方法、装置およびコンピュータプログラム,16,本権利は抹消されていない存続期間満了日(2032/04/03),4年,(2022/12/28)
page-6643298,特許2017-225620(2012/03/09),6643298,アメリカ合衆国(391028362)ダブリュ．エル．ゴア　アンド　アソシエイツ，インコーポレイティド,固定化された生物学的成分の改良,9,本権利は抹消されていない存続期間満了日(2032/03/09),4年,(2022/12/28)
page-6643309,特許2017-500955(2015/07/02),6643309,アメリカ合衆国(591025439)ザイリンクス　インコーポレイテッド,高速アナログコンパレータ,12,本権利は抹消されていない存続期間満了日(2035/07/02),4年,(2022/12/28)
page-6643311,特許2017-502253(2015/07/13),6643311,イタリア国(514194370)オスペダーレ　サン　ラファエレ　エス．アール．エル イタリア国(511262290)フォンダツィオーネ　テレトン,ベクター生産,16,本権利は抹消されていない存続期間満了日(2035/07/13),4年,(2022/12/28)
