Page,出願記事,登録記事,権利者記事,発明等の名称(漢字)記事,請求項の数記事,登録細項目記事,最終納付年分記事,更新日付
page-5171041,特許2006-550354(2005/01/31),5171041,オランダテナリス・コネクシヨンズ・ベー・ブイ,筒状部材のためのねじ用保護器,9,本権利は抹消されていない存続期間満了日(2025/01/31),11年,(2023/01/04)
page-5171373,特許2008-113952(2008/04/24),5171373,アメリカ合衆国(300019238)ジーイー・メディカル・システムズ・グローバル・テクノロジー・カンパニー・エルエルシー,磁気共鳴イメージング装置及びＲＦパルス印加方法,20,本権利は抹消されていない存続期間満了日(2028/04/24),11年,(2023/01/04)
page-5171474,特許2008-210228(2008/08/19),5171474,アメリカ合衆国(300019238)ジーイー・メディカル・システムズ・グローバル・テクノロジー・カンパニー・エルエルシー,断層画像処理装置およびＸ線ＣＴ装置並びにプログラム,8,本権利は抹消されていない存続期間満了日(2028/08/19),11年,(2023/01/04)
page-5171806,特許2009-501673(2007/03/19),5171806,アメリカ合衆国(599056437)スリーエム　イノベイティブ　プロパティズ　カンパニー,接着シート物品,4,本権利は抹消されていない存続期間満了日(2027/03/19),11年,(2023/01/04)
page-5171939,特許2010-506331(2008/05/02),5171939,アメリカ合衆国(597115727)ローズマウント　インコーポレイテッド,改良されたバッテリアセンブリを有する工業的プロセスフィールドデバイス,14,本権利は抹消されていない存続期間満了日(2028/05/02),11年,(2023/01/04)
page-5171942,特許2010-508786(2008/05/07),5171942,ベルギーブルー・フット・メンブレン・エヌ・ブイ,シームレス膜物質を有する膜袋、その使用及びそれを用いる濾過装置,14,本権利は抹消されていない存続期間満了日(2028/05/07),11年,(2023/01/04)
page-5172013,特許2011-514603(2009/06/17),5172013,アメリカ合衆国(597115727)ローズマウント　インコーポレイテッド,プロセス装置ワイヤレスアダプタのための改善された形状要素及び電磁干渉保護,17,本権利は抹消されていない存続期間満了日(2029/06/17),11年,(2023/01/04)
page-5172088,特許2005-325598(2005/11/10),5172088,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,ＣＴデータ補正の方法及びシステム,10,本権利は抹消されていない存続期間満了日(2025/11/10),11年,(2023/01/04)
page-5172184,特許2007-074460(2007/03/22),5172184,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,磁気共鳴撮像デバイス、粒子ドープした電磁気コイル及び、その形成方法,9,本権利は抹消されていない存続期間満了日(2027/03/22),11年,(2023/01/04)
page-5172360,特許2008-002778(2008/01/10),5172360,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,ゲート電圧制御システムおよび微小電子機械デバイスを静電作動させる方法,10,本権利は抹消されていない存続期間満了日(2028/01/10),11年,(2023/01/04)
page-5172668,特許2008-515886(2006/06/07),5172668,アメリカ合衆国(500324750)バリアン・セミコンダクター・エクイップメント・アソシエイツ・インコーポレイテッド,イオンビーム角度処理制御技術,10,本権利は抹消されていない存続期間満了日(2026/06/07),11年,(2023/01/04)
page-5172735,特許2009-030753(2009/02/13),5172735,フランス国(505277691)スネクマ,超弾性材料によって構成された前縁を有するターボ機械部品,10,本権利は抹消されていない存続期間満了日(2029/02/13),11年,(2023/01/04)
page-5173191,特許2006-535242(2005/09/13),5173191,大阪府大阪市(000002934)武田薬品工業株式会社,酸化化合物の製造方法及び製造装置,7,本権利は抹消されていない存続期間満了日(2025/09/13),11年,(2023/01/04)
page-5173192,特許2006-537858(2005/09/30),5173192,大阪府大阪市(000002934)武田薬品工業株式会社,プロトンポンプ阻害薬,8,本権利は抹消されていない存続期間満了日(2025/09/30),11年,(2023/01/04)
page-5173262,特許2007-141797(2007/05/29),5173262,東京都港区(000107387)日本ゴア合同会社,固体高分子電解質膜の製造方法、固体高分子電解質膜、固体高分子形燃料電池用膜電極組立体および固体高分子形燃料電池,9,本権利は抹消されていない存続期間満了日(2027/05/29),11年,(2023/01/04)
page-5173324,特許2007-227354(2007/09/03),5173324,アメリカ合衆国(594120847)フィッシャー－ローズマウント　システムズ，インコーポレイテッド,モニタリングシステムおよびモニタリング方法,29,本権利は抹消されていない存続期間満了日(2027/09/03),11年,(2023/01/04)
page-5173454,特許2008-013422(2008/01/24),5173454,フランス国(505277691)スネクマ,可変ピッチプロペラを有するターボプロップ,4,本権利は抹消されていない存続期間満了日(2028/01/24),11年,(2023/01/04)
page-5173744,特許2008-279696(2008/10/30),5173744,スイス(505236469)キャタピラー　エス　エー　アール　エル,ハーネスの製造方法及びハーネス,2,本権利は抹消されていない存続期間満了日(2028/10/30),11年,(2023/01/04)
page-5173981,特許2009-242200(2003/05/22),5173981,ドイツ国(501276371)フレセニウス・メディカル・ケア・ドイチュラント・ゲーエムベーハー,医療用の液体を取り扱う装置,35,本権利は抹消されていない存続期間満了日(2023/05/22),11年,(2023/01/04)
page-5174031,特許2009-536865(2007/11/14),5174031,イスラエル(508068940)アトランティウム　テクノロジーズ　エルティディ．,光透過性導管を使用した液体消毒のための方法および装置,16,本権利は抹消されていない存続期間満了日(2027/11/14),11年,(2023/01/04)
page-5174033,特許2009-542728(2006/12/18),5174033,アメリカ合衆国(599056437)スリーエム　イノベイティブ　プロパティズ　カンパニー,受容シート及び受容シート上に画像を形成する方法,9,本権利は抹消されていない存続期間満了日(2026/12/18),11年,(2023/01/04)
page-5174034,特許2009-543111(2007/12/17),5174034,アメリカ合衆国(504097650)エンジニアード・アレスティング・システムズ・コーポレーション,情報、詳しくは着陸航空機のパイロットに利用可能な滑走路状態に関する情報を改善又は増加するシステム及び方法,19,本権利は抹消されていない存続期間満了日(2027/12/17),11年,(2023/01/04)
page-5174139,特許2010-285864(2010/12/22),5174139,フランス国(591131361)メシエ－ブガッティ－ドウティ,航空機の車輪及びブレーキの集合体,4,本権利は抹消されていない存続期間満了日(2030/12/22),11年,(2023/01/04)
page-5174243,特許2011-524258(2009/08/28),5174243,ドイツ連邦共和国(391018178)ダブリュ．エル．ゴア　アンド　アソシエーツ，ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,バリア層を有する層状構造、このような層状構造を有する衣料品、及びこのような層状構造の製造,2,本権利は抹消されていない存続期間満了日(2029/08/28),11年,(2023/01/04)
page-5444525,特許2007-527740(2005/06/08),5444525,アメリカ合衆国(501416405)ウッドストリーム、コーポレイション,誘引剤ルアーで飛翔昆虫を捕獲するためのシステム,109,本権利は抹消されていない存続期間満了日(2025/06/08),10年,(2022/12/28)
page-5444534,特許2011-531377(2009/10/05),5444534,フランス国(504255249)ヴァルレック　オイル　アンド　ガス　フランス 東京都千代田区(000006655)日本製鉄株式会社,管状ねじ山付き接続部のコンポーネントのねじ山付き要素のための、摩擦係数順応性を示す潤滑剤組成物,18,本権利は抹消されていない存続期間満了日(2029/10/05),10年,(2022/12/28)
page-5444536,特許2010-513345(2008/06/13),5444536,アメリカ合衆国エクセジー・インコーポレイテツド,金融情報の高速処理のための方法および機器,33,本権利は抹消されていない存続期間満了日(2028/06/13),10年,(2022/12/28)
page-5445310,特許2010-103413(2010/04/28),5445310,アメリカ合衆国イー　インク　コーポレイション,電気泳動表示装置、制御回路、電子機器および駆動方法,4,本権利は抹消されていない存続期間満了日(2030/04/28),10年,(2022/12/28)
page-5445764,特許2009-551235(2008/02/07),5445764,フランス国(508356548)シデル　パーティシペイションズ,赤外線放射によるプラスチック加熱の改善,12,本権利は抹消されていない存続期間満了日(2028/02/07),10年,(2022/12/28)
page-5445842,特許2009-515981(2007/06/15),5445842,イタリア国(508070792)サクミ　ヴェローナ　エス．ピー．エー．,ラベルを付けるための装置,7,本権利は抹消されていない存続期間満了日(2027/06/15),10年,(2022/12/28)
page-5447017,特許2010-051890(2010/03/09),5447017,アメリカ合衆国イー　インク　コーポレイション,電気光学装置の駆動方法、及び電気光学装置,5,本権利は抹消されていない存続期間満了日(2030/03/09),10年,(2022/12/28)
page-5447837,特許2009-550273(2008/02/18),5447837,ドイツ連邦共和国(508020155)ビーエーエスエフ　ソシエタス・ヨーロピア,Ｐｉｇｍｅｎｔ　Ｒｏｔ　１４９の製造法,9,本権利は抹消されていない存続期間満了日(2028/02/18),10年,(2022/12/28)
page-5447865,特許2010-513957(2008/06/30),5447865,ドイツ連邦共和国(508020155)ビーエーエスエフ　ソシエタス・ヨーロピア,ペリレン顔料の水系合成,10,本権利は抹消されていない存続期間満了日(2028/06/30),10年,(2022/12/28)
page-5448003,特許2011-526113(2009/08/27),5448003,アメリカ合衆国(591003943)インテル・コーポレーション,コンピューティングシステムおよびその方法,15,本権利は抹消されていない存続期間満了日(2029/08/27),10年,(2022/12/28)
page-5448071,特許2009-519643(2007/07/11),5448071,アメリカ合衆国(509012511)メビウス　セラピューティクス，エルエルシー．,一時的な適用のために薬剤を再構成し再構成した薬剤を調合するための器具及び方法,13,本権利は抹消されていない存続期間満了日(2027/07/11),10年,(2022/12/28)
page-5448100,特許2010-542433(2009/01/14),5448100,アメリカ合衆国(510172930)ヴォルテラ　セミコンダクター　コーポレイション,保護されたチャネルを有するパワートランジスタ,10,本権利は抹消されていない存続期間満了日(2029/01/14),10年,(2022/12/28)
page-5448131,特許2007-112909(2007/04/23),5448131,アメリカ合衆国(591009509)ボーズ・コーポレーション,アクティブノイズ低減マイクロホンの配置,7,本権利は抹消されていない存続期間満了日(2027/04/23),10年,(2022/12/28)
page-5448367,特許2008-119334(2008/04/30),5448367,ドイツ国(504147933)ハーマン　ベッカー　オートモーティブ　システムズ　ゲーエムベーハー,ルート決定方法およびデバイス,16,本権利は抹消されていない存続期間満了日(2028/04/30),10年,(2022/12/28)
page-5448453,特許2008-543912(2006/12/11),5448453,イギリス(397009934)グラクソ　グループ　リミテッド,薬剤ディスペンサ,13,本権利は抹消されていない存続期間満了日(2026/12/11),10年,(2022/12/28)
page-5448463,特許2008-558530(2007/03/08),5448463,アメリカ合衆国(500080214)イー　インク　コーポレイション,電気光学表示素子の生成方法,13,本権利は抹消されていない存続期間満了日(2027/03/08),10年,(2022/12/28)
page-5448583,特許2009-132636(2009/06/02),5448583,アメリカ合衆国(596170170)ゼロックス　コーポレイション,トナー組成物,2,本権利は抹消されていない存続期間満了日(2029/06/02),10年,(2022/12/28)
page-5448660,特許2009-206541(2009/09/08),5448660,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,電気的スイッチング装置,10,本権利は抹消されていない存続期間満了日(2029/09/08),10年,(2022/12/28)
page-5448672,特許2009-217916(2009/09/18),5448672,アメリカ合衆国(507362281)コヴィディエン　リミテッド　パートナーシップ,外科用器具のナイフバー,9,本権利は抹消されていない存続期間満了日(2029/09/18),10年,(2022/12/28)
page-5448837,特許2009-541708(2007/12/20),5448837,アメリカ合衆国シノプシス　インコーポレーテッド,マスクプログラム可能なアンチヒューズ構造,23,本権利は抹消されていない存続期間満了日(2027/12/20),10年,(2022/12/28)
page-5449131,特許2010-501557(2008/03/03),5449131,フランス国(507274799)プジョー　シトロエン　オートモビル　エス　アー,幾何形状構成ユニット,1,本権利は抹消されていない存続期間満了日(2028/03/03),10年,(2022/12/28)
page-5449134,特許2010-504018(2008/04/18),5449134,スウェーデン国(509287968)プレーマクレ・アクチエボラーグ,未熟児合併症の治療及び／又は予防の方法と製品,34,本権利は抹消されていない存続期間満了日(2028/04/18),10年,(2022/12/28)
page-5449173,特許2010-527250(2008/09/30),5449173,アメリカ合衆国(509049551)バレアント　ファーマシューティカルズ　インターナショナル,創傷治癒および瘢痕減少のためのシリコーンゲルに基づく組成物,19,本権利は抹消されていない存続期間満了日(2028/09/30),10年,(2022/12/28)
page-5449207,特許2010-549695(2009/02/06),5449207,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,生理学データの形態フィーチャ解析のシステム,15,本権利は抹消されていない存続期間満了日(2029/02/06),10年,(2022/12/28)
page-5449216,特許2011-011406(2005/02/23),5449216,アメリカ合衆国(501289751)コヴィディエン　リミテッド　パートナーシップ,外科用の切断およびステープル留めの装置,12,本権利は抹消されていない存続期間満了日(2025/02/23),10年,(2022/12/28)
page-5449267,特許2011-158522(2011/07/20),5449267,アメリカ合衆国(500107762)ハミルトン・サンドストランド・コーポレイション,回転機用可変ディフューザおよび回転機,11,本権利は抹消されていない存続期間満了日(2031/07/20),10年,(2022/12/28)
page-5449291,特許2011-223723(2011/10/11),5449291,アメリカ合衆国(500107762)ハミルトン・サンドストランド・コーポレイション,アキュムレータシステムおよびその駆動方法,10,本権利は抹消されていない存続期間満了日(2031/10/11),10年,(2022/12/28)
page-5449339,特許2011-515515(2009/05/14),5449339,フランス国(505277691)スネクマ,ターボ機械用構造フレーム,14,本権利は抹消されていない存続期間満了日(2029/05/14),10年,(2022/12/28)
page-5449347,特許2011-517981(2009/07/16),5449347,フランス国(505277691)スネクマ,ブレード配列部品の製造方法,8,本権利は抹消されていない存続期間満了日(2029/07/16),10年,(2022/12/28)
page-5449395,特許2011-541620(2008/12/19),5449395,アメリカ合衆国(591020353)オーチス　エレベータ　カンパニー,電子機器ハウジングを有するエレベータドアフレーム,31,本権利は抹消されていない存続期間満了日(2028/12/19),10年,(2022/12/28)
page-5449446,特許2012-103113(2004/08/19),5449446,アメリカ合衆国(500080214)イー　インク　コーポレイション,電気光学ディスプレイ,2,本権利は抹消されていない存続期間満了日(2024/08/19),10年,(2022/12/28)
page-5449515,特許2012-265785(2007/01/19),5449515,アメリカ合衆国(500324750)バリアン・セミコンダクター・エクイップメント・アソシエイツ・インコーポレイテッド,リボンビームの均一性向上のための方法,4,本権利は抹消されていない存続期間満了日(2027/01/19),10年,(2022/12/28)
page-5449617,特許2013-502914(2011/04/04),5449617,アメリカ合衆国(500080214)イー　インク　コーポレイション,電気泳動媒体,20,本権利は抹消されていない存続期間満了日(2031/04/04),10年,(2022/12/28)
page-5449671,特許2007-519383(2005/06/27),5449671,アメリカ合衆国(595117091)ベクトン・ディキンソン・アンド・カンパニー,溶解性フィルムおよびそれを含む方法,22,本権利は抹消されていない存続期間満了日(2025/06/27),10年,(2022/12/28)
page-5449725,特許2008-237269(2008/09/17),5449725,アメリカ合衆国(596170170)ゼロックス　コーポレイション,トナー組成物製造プロセス,4,本権利は抹消されていない存続期間満了日(2028/09/17),10年,(2022/12/28)
page-5449739,特許2008-268846(2008/10/17),5449739,東京都港区(000107387)日本ゴア合同会社,通気性複合シートの製造方法,1,本権利は抹消されていない存続期間満了日(2028/10/17),10年,(2022/12/28)
page-5449743,特許2008-277363(2008/10/01),5449743,フランス国(505277691)スネクマ,燃料電池用予熱熱交換器,7,本権利は抹消されていない存続期間満了日(2028/10/01),10年,(2022/12/28)
page-5449745,特許2008-288365(2008/11/11),5449745,アメリカ合衆国(508177046)ジーイー－ヒタチ・ニュークリア・エナジー・アメリカズ・エルエルシー,音響負荷緩和装置,8,本権利は抹消されていない存続期間満了日(2028/11/11),10年,(2022/12/28)
page-5449746,特許2008-291024(2008/11/13),5449746,アメリカ合衆国(508177046)ジーイー－ヒタチ・ニュークリア・エナジー・アメリカズ・エルエルシー,音響負荷緩和装置,4,本権利は抹消されていない存続期間満了日(2028/11/13),10年,(2022/12/28)
page-5449756,特許2008-316853(2008/12/12),5449756,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,導電性機械的ストッパを有するＭＥＭＳスイッチ,9,本権利は抹消されていない存続期間満了日(2028/12/12),10年,(2022/12/28)
page-5449803,特許2009-054016(2009/03/06),5449803,東京都港区(000107387)日本ゴア合同会社,フッ素系弾性チューブ,3,本権利は抹消されていない存続期間満了日(2029/03/06),10年,(2022/12/28)
page-5449896,特許2009-170894(2009/07/22),5449896,アメリカ合衆国(300019238)ジーイー・メディカル・システムズ・グローバル・テクノロジー・カンパニー・エルエルシー,超音波診断装置,14,本権利は抹消されていない存続期間満了日(2029/07/22),10年,(2022/12/28)
page-5450000,特許2009-269695(2009/11/27),5450000,アメリカ合衆国(300019238)ジーイー・メディカル・システムズ・グローバル・テクノロジー・カンパニー・エルエルシー,磁気共鳴イメージング装置,5,本権利は抹消されていない存続期間満了日(2029/11/27),10年,(2022/12/28)
page-5450056,特許2009-509032(2008/03/18),5450056,大阪府大阪市(000002934)武田薬品工業株式会社,アリルアミン不斉水素化法,11,本権利は抹消されていない存続期間満了日(2028/03/18),10年,(2022/12/28)
page-5450064,特許2009-520969(2007/07/18),5450064,アメリカ合衆国(504245871)レイセオン　カンパニー,光ディジタル・アナログ変換器,16,本権利は抹消されていない存続期間満了日(2027/07/18),10年,(2022/12/28)
page-5450129,特許2010-017525(2010/01/29),5450129,アメリカ合衆国(300019238)ジーイー・メディカル・システムズ・グローバル・テクノロジー・カンパニー・エルエルシー,磁気共鳴イメージング装置およびプログラム,16,本権利は抹消されていない存続期間満了日(2030/01/29),10年,(2022/12/28)
page-5450336,特許2010-218845(2010/09/29),5450336,イギリス(504394342)アーム・リミテッド,レジスタ状態の保存および復元,35,本権利は抹消されていない存続期間満了日(2030/09/29),10年,(2022/12/28)
page-5450363,特許2010-273607(2004/11/16),5450363,アメリカ合衆国(505307471)インテグリス・インコーポレーテッド,ウェーハを保持するための容器,4,本権利は抹消されていない存続期間満了日(2024/11/16),10年,(2022/12/28)
page-5450390,特許2010-508421(2008/05/15),5450390,アメリカ合衆国(503455363)レイセオン　カンパニー,可動ピストン及び可動シリンダを備えたクライオクーラ,9,本権利は抹消されていない存続期間満了日(2028/05/15),10年,(2022/12/28)
page-5450431,特許2010-531499(2008/10/24),5450431,イギリス(513111123)エヌビディア・テクノロジー・ユーケー・リミテッド,ワイヤレス通信環境における信号処理,13,本権利は抹消されていない存続期間満了日(2028/10/24),10年,(2022/12/28)
page-5450432,特許2010-532167(2008/10/27),5450432,英国領バーミューダ(500332814)ボストン　サイエンティフィック　リミテッド,成形可能なチップを備えた長尺状医療用デバイス,7,本権利は抹消されていない存続期間満了日(2028/10/27),10年,(2022/12/28)
page-5450459,特許2010-549627(2008/09/09),5450459,アメリカ合衆国(595117091)ベクトン・ディキンソン・アンド・カンパニー,針アセンブリ,38,本権利は抹消されていない存続期間満了日(2028/09/09),10年,(2022/12/28)
page-5450568,特許2011-248925(2004/08/12),5450568,アメリカ合衆国(595117091)ベクトン・ディキンソン・アンド・カンパニー,パッチ様注入装置,15,本権利は抹消されていない存続期間満了日(2024/08/12),10年,(2022/12/28)
page-5450585,特許2011-500265(2009/03/16),5450585,フランス(591034154)オランジュ,オーディオ－ビデオ通信を介したマルチメディアコンテンツ共有,11,本権利は抹消されていない存続期間満了日(2029/03/16),10年,(2022/12/28)
page-5450606,特許2011-512489(2009/04/20),5450606,アメリカ合衆国(503455363)レイセオン　カンパニー,イオン化装置のための方法および装置,20,本権利は抹消されていない存続期間満了日(2029/04/20),10年,(2022/12/28)
page-5450612,特許2011-514184(2009/06/18),5450612,イスラエル国(510332981)ライフボンド　リミテッド,改良された架橋組成物,8,本権利は抹消されていない存続期間満了日(2029/06/18),10年,(2022/12/28)
page-5450615,特許2011-515503(2009/06/25),5450615,フィンランド国(591036309)プランメカ　オイ,歯科治療装置,17,本権利は抹消されていない存続期間満了日(2029/06/25),10年,(2022/12/28)
page-5450648,特許2011-542980(2008/12/30),5450648,スイス国シクパ　ホルディング　ソシエテ　アノニム,特にミシン／刺繍機のためのインクジェット印刷ヘッド、前記インクジェット印刷ヘッドを作製する方法、および糸を着色する方法,16,本権利は抹消されていない存続期間満了日(2028/12/30),10年,(2022/12/28)
page-5450651,特許2011-543583(2009/12/17),5450651,アメリカ合衆国(391008847)ボシュ・アンド・ロム・インコーポレイテッド,眼科光ファイバ照明システムにおける、回転可能なプレートアレイを使用したビーム強度制御,17,本権利は抹消されていない存続期間満了日(2029/12/17),10年,(2022/12/28)
page-5450686,特許2012-028164(2012/02/13),5450686,アメリカ合衆国(508177046)ジーイー－ヒタチ・ニュークリア・エナジー・アメリカズ・エルエルシー,電気化学的腐食電位プローブアセンブリ,17,本権利は抹消されていない存続期間満了日(2032/02/13),10年,(2022/12/28)
page-5450838,特許2012-552224(2010/02/12),5450838,フランス国ジエマルト・エス・アー,マシン・タイプ通信のためのネットワーク・アクセスの方法およびシステム,14,本権利は抹消されていない存続期間満了日(2030/02/12),10年,(2022/12/28)
page-5450844,特許2013-002336(2013/01/10),5450844,スイス国(504341564)モントレー　ブレゲ・エス　アー,表示システム用の迅速補正デバイス,15,本権利は抹消されていない存続期間満了日(2033/01/10),10年,(2022/12/28)
page-5450887,特許2013-504353(2011/03/25),5450887,イギリス国(512264725)アッコ・ユーケイ・リミテッド,ステープル及びクリップ除去器を備える紙細断機,20,本権利は抹消されていない存続期間満了日(2031/03/25),10年,(2022/12/28)
page-5450888,特許2013-504354(2011/03/25),5450888,イギリス国(512264725)アッコ・ユーケイ・リミテッド,送給器を備える紙細断機,21,本権利は抹消されていない存続期間満了日(2031/03/25),10年,(2022/12/28)
page-5450947,特許2007-260599(2007/10/04),5450947,アメリカ合衆国(596170170)ゼロックス　コーポレイション,置換安定剤を有する銀含有ナノ粒子、電子装置の製造方法及び薄膜トランジスタ,1,本権利は抹消されていない存続期間満了日(2027/10/04),10年,(2022/12/28)
page-5450962,特許2008-022903(2008/02/01),5450962,東京都港区(000107387)日本ゴア合同会社,膜電極組立体の製造方法,6,本権利は抹消されていない存続期間満了日(2028/02/01),10年,(2022/12/28)
page-5450976,特許2008-102119(2008/04/10),5450976,フランス国(505277691)スネクマ,ターボ機械ブレードのためのセラミック鋳造コアを製作するための装置,5,本権利は抹消されていない存続期間満了日(2028/04/10),10年,(2022/12/28)
page-5451003,特許2008-210265(2008/08/19),5451003,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,タービンにおいて偏心度を低下させ真円度を高める装置及び方法,10,本権利は抹消されていない存続期間満了日(2028/08/19),10年,(2022/12/28)
page-5451018,特許2008-244684(2008/09/24),5451018,アメリカ合衆国(390040660)アプライド　マテリアルズ　インコーポレイテッド,選択的酸化プロセスの酸化物成長速度の改良方法,3,本権利は抹消されていない存続期間満了日(2028/09/24),10年,(2022/12/28)
page-5451102,特許2009-032266(2009/02/16),5451102,フランス国(505277691)スネクマ,ターボ機械用のディフューザノズルのアセンブリ,15,本権利は抹消されていない存続期間満了日(2029/02/16),10年,(2022/12/28)
page-5451377,特許2009-506530(2007/04/13),5451377,アメリカ合衆国ダブリュ．エル．ゴア　アンド　アソシエイツ，インコーポレイティド,広い展開直径の範囲で皺のない拡張可能なカバー付きステント,29,本権利は抹消されていない存続期間満了日(2027/04/13),10年,(2022/12/28)
page-5451395,特許2009-531612(2007/10/04),5451395,アメリカ合衆国(595117091)ベクトン・ディキンソン・アンド・カンパニー,医療デバイス,15,本権利は抹消されていない存続期間満了日(2027/10/04),10年,(2022/12/28)
page-5451463,特許2010-050049(2010/03/08),5451463,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,タービン翼形部及びその先端構造体を製造する方法,14,本権利は抹消されていない存続期間満了日(2030/03/08),10年,(2022/12/28)
page-5451592,特許2010-501110(2008/03/20),5451592,アメリカ合衆国(595117091)ベクトン・ディキンソン・アンド・カンパニー,表面増強ラマン分光法（ＳＥＲＳ）活性粒子を使用するアッセイ,17,本権利は抹消されていない存続期間満了日(2028/03/20),10年,(2022/12/28)
page-5451603,特許2010-511709(2008/06/13),5451603,フランス(591034154)オランジュ,デジタルオーディオ信号の符号化,12,本権利は抹消されていない存続期間満了日(2028/06/13),10年,(2022/12/28)
page-5451617,特許2010-523286(2008/05/16),5451617,ドイツ国(501276371)フレセニウス・メディカル・ケア・ドイチュラント・ゲーエムベーハー,医療流体を処理するための器具および方法,18,本権利は抹消されていない存続期間満了日(2028/05/16),10年,(2022/12/28)
page-5451638,特許2010-543180(2009/01/13),5451638,アメリカ合衆国(595117091)ベクトン・ディキンソン・アンド・カンパニー,ペン針組立品を備える医療用注射器,11,本権利は抹消されていない存続期間満了日(2029/01/13),10年,(2022/12/28)
page-5451641,特許2010-545485(2009/02/06),5451641,デンマーク国(596113096)ノボ・ノルデイスク・エー／エス,モード規定要素を備えた注射装置,13,本権利は抹消されていない存続期間満了日(2029/02/06),10年,(2022/12/28)
page-5451740,特許2011-502475(2009/03/30),5451740,オランダ国(507219491)エヌエックスピー　ビー　ヴィ ベルギー(505218122)アイメック,多重ビット相変化メモリセル,10,本権利は抹消されていない存続期間満了日(2029/03/30),10年,(2022/12/28)
page-5451760,特許2011-518813(2009/07/13),5451760,アメリカ合衆国(500100822)ティコナ・エルエルシー,難燃性ポリマー組成物,22,本権利は抹消されていない存続期間満了日(2029/07/13),10年,(2022/12/28)
page-5451784,特許2012-003967(2008/03/25),5451784,アメリカ合衆国(596170170)ゼロックス　コーポレイション,エッジエミッティングレーザのモノリシックアレイ,4,本権利は抹消されていない存続期間満了日(2028/03/25),10年,(2022/12/28)
